lon,lat,depth,date,var,value
25.917311841541142,71.08098064084896,-4.152780055999756,2013,YearlyPAR0m,32.828250885009766
25.91864258915216,71.08098064084896,-18.044048309326172,2013,YearlyPAR0m,32.79865264892578
25.919973336763178,71.08098064084896,-11.394927024841309,2013,YearlyPAR0m,32.76905059814453
25.91465034631911,71.08054034614032,-18.68449592590332,2009,YearlyPAR0m,33.44921112060547
25.91465034631911,71.08054034614032,-18.68449592590332,2013,YearlyPAR0m,36.54912567138672
25.91465034631911,71.08054034614032,-18.68449592590332,2021,YearlyPAR0m,30.99011993408203
25.915981093930125,71.08054034614032,-36.55702209472656,2013,YearlyPAR0m,32.95674133300781
25.917311841541142,71.08054034614032,-38.06968688964844,2013,YearlyPAR0m,32.93275833129883
25.91864258915216,71.08054034614032,-48.45661163330078,2013,YearlyPAR0m,32.908775329589844
25.919973336763178,71.08054034614032,-46.399662017822266,2013,YearlyPAR0m,32.88479232788086
25.91465034631911,71.08010005143169,-31.755413055419922,2009,YearlyPAR0m,33.53093338012695
25.91465034631911,71.08010005143169,-31.755413055419922,2013,YearlyPAR0m,36.62373352050781
25.91465034631911,71.08010005143169,-31.755413055419922,2021,YearlyPAR0m,31.048715591430664
25.915981093930125,71.08010005143169,-55.027286529541016,2013,YearlyPAR0m,33.05562973022461
25.917311841541142,71.08010005143169,-59.84630584716797,2013,YearlyPAR0m,33.03726577758789
25.91864258915216,71.08010005143169,-62.14844512939453,2013,YearlyPAR0m,33.018898010253906
25.919973336763178,71.08010005143169,-62.76696014404297,2013,YearlyPAR0m,33.00053405761719
25.844120722935184,71.0726150413848,-5.216200828552246,2011,YearlyPAR0m,31.588289260864258
25.842789975324166,71.07217474667615,-13.00696849822998,2011,YearlyPAR0m,31.597579956054688
25.844120722935184,71.07217474667615,-28.458913803100586,2011,YearlyPAR0m,31.609804153442383
25.842789975324166,71.07173445196752,-29.839826583862305,2011,YearlyPAR0m,31.62114715576172
25.844120722935184,71.07173445196752,-46.08749771118164,2011,YearlyPAR0m,31.63132095336914
25.842789975324166,71.07129415725888,-41.6255989074707,2011,YearlyPAR0m,31.644712448120117
25.844120722935184,71.07129415725888,-51.455440521240234,2011,YearlyPAR0m,31.652835845947266
25.841459227713152,71.07085386255024,-5.5232038497924805,2011,YearlyPAR0m,31.66220474243164
25.842789975324166,71.07085386255024,-48.7881965637207,2011,YearlyPAR0m,31.66827964782715
25.844120722935184,71.07085386255024,-55.476348876953125,2011,YearlyPAR0m,31.674352645874023
25.841459227713152,71.0704135678416,-13.088752746582031,2007,YearlyPAR0m,30.065195083618164
25.841459227713152,71.0704135678416,-13.088752746582031,2011,YearlyPAR0m,31.687820434570312
25.842789975324166,71.0704135678416,-48.410247802734375,2011,YearlyPAR0m,31.691844940185547
25.844120722935184,71.0704135678416,-57.2913932800293,2011,YearlyPAR0m,31.69586753845215
26.114262487971722,71.00348877212826,-0.2957620322704315,2011,YearlyPAR0m,34.284088134765625
26.114262487971722,71.00304847741963,-3.789762020111084,2011,YearlyPAR0m,34.29442596435547
26.114262487971722,71.00260818271099,-3.3700273036956787,2011,YearlyPAR0m,34.30475997924805
26.114262487971722,71.00216788800235,-1.4237728118896484,2011,YearlyPAR0m,34.31509780883789
26.114262487971722,71.00172759329371,-0.2273552566766739,2011,YearlyPAR0m,34.32543182373047
26.114262487971722,71.00128729858507,-0.14720170199871063,2011,YearlyPAR0m,34.33576965332031
26.114262487971722,71.00084700387643,-0.1505795270204544,2011,YearlyPAR0m,34.34610366821289
25.67511577633597,70.9612204800988,-0.005279411096125841,2003,YearlyPAR0m,31.4964599609375
25.67511577633597,70.9612204800988,-0.005279411096125841,2007,YearlyPAR0m,37.9145622253418
25.67511577633597,70.9612204800988,-0.005279411096125841,2011,YearlyPAR0m,42.05875015258789
25.67511577633597,70.9612204800988,-0.005279411096125841,2013,YearlyPAR0m,37.78111267089844
25.677777271558007,70.9612204800988,-3.214372396469116,2003,YearlyPAR0m,31.693017959594727
25.677777271558007,70.9612204800988,-3.214372396469116,2007,YearlyPAR0m,38.17258834838867
25.677777271558007,70.9612204800988,-3.214372396469116,2011,YearlyPAR0m,42.359031677246094
25.677777271558007,70.9612204800988,-3.214372396469116,2013,YearlyPAR0m,38.15713882446289
25.679108019169025,70.9612204800988,-9.525483131408691,2003,YearlyPAR0m,31.791296005249023
25.679108019169025,70.9612204800988,-9.525483131408691,2007,YearlyPAR0m,38.301597595214844
25.679108019169025,70.9612204800988,-9.525483131408691,2011,YearlyPAR0m,42.50917434692383
25.679108019169025,70.9612204800988,-9.525483131408691,2013,YearlyPAR0m,38.34515380859375
25.680438766780043,70.9612204800988,-8.594335556030273,2003,YearlyPAR0m,31.686229705810547
25.680438766780043,70.9612204800988,-8.594335556030273,2007,YearlyPAR0m,31.067628860473633
25.68176951439106,70.9612204800988,-4.9883904457092285,2003,YearlyPAR0m,31.82757568359375
25.68176951439106,70.9612204800988,-4.9883904457092285,2007,YearlyPAR0m,31.103408813476562
25.68176951439106,70.9612204800988,-4.9883904457092285,2013,YearlyPAR0m,30.31083869934082
25.68310026200208,70.9612204800988,-1.2515347003936768,2003,YearlyPAR0m,31.968921661376953
25.68310026200208,70.9612204800988,-1.2515347003936768,2007,YearlyPAR0m,31.139188766479492
25.68310026200208,70.9612204800988,-1.2515347003936768,2013,YearlyPAR0m,30.68247413635254
25.67511577633597,70.96078018539015,-0.8902210593223572,2003,YearlyPAR0m,31.662612915039062
25.67511577633597,70.96078018539015,-0.8902210593223572,2007,YearlyPAR0m,38.0258903503418
