lon,lat,depth,date,var,value
-52.99166419015748,70.31006879965227,NA,NA,PAR0m_Global,31.086095809936523
-52.93128522632561,70.29010931771312,NA,NA,PAR0m_Global,31.699810028076172
-52.92751154108612,70.29010931771312,NA,NA,PAR0m_Global,31.798999786376953
-50.36517926347127,70.0825307055458,NA,NA,PAR0m_Global,43.242000579833984
-50.361405578231775,70.0825307055458,NA,NA,PAR0m_Global,42.1619987487793
-50.368952948710756,70.08120007341654,NA,NA,PAR0m_Global,44.29317855834961
-50.36517926347127,70.08120007341654,NA,NA,PAR0m_Global,43.03135299682617
-50.361405578231775,70.08120007341654,NA,NA,PAR0m_Global,41.769527435302734
-50.44442665350059,70.03728921315037,NA,NA,PAR0m_Global,30.562671661376953
-50.44442665350059,70.03595858102109,NA,NA,PAR0m_Global,30.615432739257812
-50.44442665350059,70.03462794889182,NA,NA,PAR0m_Global,30.66819190979004
-50.44442665350059,70.03329731676254,NA,NA,PAR0m_Global,30.7209529876709
-50.44442665350059,70.03196668463326,NA,NA,PAR0m_Global,30.773712158203125
-50.912363623197564,70.03063605250398,NA,NA,PAR0m_Global,30.817068099975586
-50.44442665350059,70.03063605250398,NA,NA,PAR0m_Global,30.826473236083984
-50.580279322122294,70.0120072026941,NA,NA,PAR0m_Global,30.248903274536133
-50.580279322122294,70.01067657056483,NA,NA,PAR0m_Global,31.25809669494629
-50.580279322122294,70.00934593843554,NA,NA,PAR0m_Global,32.0588493347168
-50.580279322122294,70.00801530630626,NA,NA,PAR0m_Global,32.25867462158203
-50.58405300736179,70.006684674177,NA,NA,PAR0m_Global,30.372652053833008
-50.580279322122294,70.006684674177,NA,NA,PAR0m_Global,32.45850372314453
-50.58405300736179,70.00535404204771,NA,NA,PAR0m_Global,30.842981338500977
-50.580279322122294,70.00535404204771,NA,NA,PAR0m_Global,32.65833282470703
-50.708584620265015,69.99870088140132,NA,NA,PAR0m_Global,32.41777038574219
-50.70481093502552,69.99870088140132,NA,NA,PAR0m_Global,32.526737213134766
-50.701037249786026,69.99870088140132,NA,NA,PAR0m_Global,32.635704040527344
-50.708584620265015,69.99737024927205,NA,NA,PAR0m_Global,32.55398941040039
-50.70481093502552,69.99737024927205,NA,NA,PAR0m_Global,32.67064666748047
-50.701037249786026,69.99737024927205,NA,NA,PAR0m_Global,32.78730392456055
-50.708584620265015,69.99603961714277,NA,NA,PAR0m_Global,32.69021224975586
-50.70481093502552,69.99603961714277,NA,NA,PAR0m_Global,32.81455612182617
-50.701037249786026,69.99603961714277,NA,NA,PAR0m_Global,32.93890380859375
-50.67462145310959,69.99470898501349,NA,NA,PAR0m_Global,33.80316162109375
-50.67084776787009,69.99470898501349,NA,NA,PAR0m_Global,36.23012924194336
-50.67462145310959,69.9933783528842,NA,NA,PAR0m_Global,34.22157669067383
-50.67084776787009,69.9933783528842,NA,NA,PAR0m_Global,36.413265228271484
-50.67462145310959,69.99204772075494,NA,NA,PAR0m_Global,34.639991760253906
-50.67084776787009,69.99204772075494,NA,NA,PAR0m_Global,36.59640121459961
-50.67462145310959,69.99071708862566,NA,NA,PAR0m_Global,35.058406829833984
-50.67084776787009,69.99071708862566,NA,NA,PAR0m_Global,36.779537200927734
-51.274637406188766,69.84035565801729,NA,NA,PAR0m_Global,33.02336883544922
-54.372832987811435,69.67668790611614,NA,NA,PAR0m_Global,30.030061721801758
-51.251995294751815,69.57023733577394,NA,NA,PAR0m_Global,31.408214569091797
-51.24822160951232,69.57023733577394,NA,NA,PAR0m_Global,44.26449966430664
-50.26706344724448,69.5316490040249,NA,NA,PAR0m_Global,41.84006881713867
-50.270837132483976,69.53031837189562,NA,NA,PAR0m_Global,40.51658248901367
-50.26706344724448,69.53031837189562,NA,NA,PAR0m_Global,42.12535858154297
-50.65952671215162,69.23358740706671,NA,NA,PAR0m_Global,34.88001251220703
-50.65575302691213,69.23358740706671,NA,NA,PAR0m_Global,34.33267593383789
-50.64820565643314,69.23358740706671,NA,NA,PAR0m_Global,39.933860778808594
-50.65952671215162,69.23225677493744,NA,NA,PAR0m_Global,34.948638916015625
-50.65575302691213,69.23225677493744,NA,NA,PAR0m_Global,34.316837310791016
-50.66330039739111,69.23092614280816,NA,NA,PAR0m_Global,30.30571746826172
-50.65952671215162,69.23092614280816,NA,NA,PAR0m_Global,35.01726531982422
-51.21425844235689,69.21895045364467,NA,NA,PAR0m_Global,33.2440071105957
-51.210484757117406,69.21895045364467,NA,NA,PAR0m_Global,33.28199768066406
-51.20671107187791,69.21895045364467,NA,NA,PAR0m_Global,33.377506256103516
-51.202937386638425,69.21895045364467,NA,NA,PAR0m_Global,35.19771194458008
-51.19916370139893,69.21895045364467,NA,NA,PAR0m_Global,35.949119567871094
-51.195390016159436,69.21895045364467,NA,NA,PAR0m_Global,36.122623443603516
-51.19161633091995,69.21895045364467,NA,NA,PAR0m_Global,30.011415481567383
-51.187842645680455,69.21895045364467,NA,NA,PAR0m_Global,30.693321228027344
-51.18406896044096,69.21895045364467,NA,NA,PAR0m_Global,41.0497932434082
-51.18029527520147,69.21895045364467,NA,NA,PAR0m_Global,40.98672866821289
-51.17652158996198,69.21895045364467,NA,NA,PAR0m_Global,32.62660217285156
-51.172747904722485,69.21895045364467,NA,NA,PAR0m_Global,32.08531951904297
-51.168974219483,69.21895045364467,NA,NA,PAR0m_Global,31.156164169311523
-51.1652005342435,69.21895045364467,NA,NA,PAR0m_Global,31.012514114379883
-51.21425844235689,69.21761982151538,NA,NA,PAR0m_Global,33.184654235839844
