lon,lat,depth,date,var,value
-22.074380508266216,74.59955031750938,-39.31460189819336,2007,YearlyPAR0m,34.350093841552734
-22.07111094913872,74.59955031750938,-33.78544998168945,2007,YearlyPAR0m,34.55619430541992
-22.074380508266216,74.59865031264344,-55.67974853515625,2007,YearlyPAR0m,34.31642532348633
-22.07111094913872,74.59865031264344,-55.95235061645508,2007,YearlyPAR0m,34.510868072509766
-22.074380508266216,74.59775030777752,-61.31605911254883,2007,YearlyPAR0m,34.28275680541992
-22.07111094913872,74.59775030777752,-61.463111877441406,2007,YearlyPAR0m,34.46554946899414
-22.074380508266216,74.59685030291158,-90.23554992675781,2007,YearlyPAR0m,34.24909210205078
-22.07111094913872,74.59685030291158,-104.40339660644531,2007,YearlyPAR0m,34.42022705078125
-22.074380508266216,74.59595029804564,-100.32886505126953,2007,YearlyPAR0m,34.215423583984375
-22.07111094913872,74.59595029804564,-112.78052520751953,2007,YearlyPAR0m,34.37490463256836
-22.074380508266216,74.5950502931797,-99.74128723144531,2007,YearlyPAR0m,34.18175506591797
-22.07111094913872,74.5950502931797,-108.3868637084961,2007,YearlyPAR0m,34.3295783996582
-22.074380508266216,74.59415028831377,-100.19678497314453,2007,YearlyPAR0m,34.14808654785156
-22.07111094913872,74.59415028831377,-112.76190185546875,2007,YearlyPAR0m,34.28425598144531
-22.074380508266216,74.59325028344783,-100.38184356689453,2007,YearlyPAR0m,34.114418029785156
-22.07111094913872,74.59325028344783,-115.89875030517578,2007,YearlyPAR0m,34.23893356323242
-22.074380508266216,74.59235027858189,-104.9795150756836,2007,YearlyPAR0m,34.08074951171875
-22.07111094913872,74.59235027858189,-116.50655364990234,2007,YearlyPAR0m,34.19361114501953
-22.074380508266216,74.59145027371595,-119.75865173339844,2007,YearlyPAR0m,34.047080993652344
-22.07111094913872,74.59145027371595,-122.10629272460938,2007,YearlyPAR0m,34.14828872680664
-22.074380508266216,74.59055026885002,-121.83592987060547,2007,YearlyPAR0m,34.01341247558594
-22.07111094913872,74.59055026885002,-130.2922821044922,2007,YearlyPAR0m,34.10296630859375
-22.074380508266216,74.58965026398408,-119.3377914428711,2006,YearlyPAR0m,32.312034606933594
-22.074380508266216,74.58965026398408,-119.3377914428711,2017,YearlyPAR0m,35.163352966308594
-22.07111094913872,74.58965026398408,-138.2022247314453,2006,YearlyPAR0m,32.30764389038086
-22.07111094913872,74.58965026398408,-138.2022247314453,2017,YearlyPAR0m,35.14604568481445
-22.074380508266216,74.58875025911814,-115.44446563720703,2006,YearlyPAR0m,32.31806564331055
-22.074380508266216,74.58875025911814,-115.44446563720703,2017,YearlyPAR0m,35.18248748779297
-22.07111094913872,74.58875025911814,-136.62542724609375,2006,YearlyPAR0m,32.31702423095703
-22.07111094913872,74.58875025911814,-136.62542724609375,2017,YearlyPAR0m,35.15366744995117
-22.074380508266216,74.5878502542522,-111.58118438720703,2006,YearlyPAR0m,32.324100494384766
-22.074380508266216,74.5878502542522,-111.58118438720703,2017,YearlyPAR0m,35.20162582397461
-22.07111094913872,74.5878502542522,-131.78692626953125,2006,YearlyPAR0m,32.3264045715332
-22.07111094913872,74.5878502542522,-131.78692626953125,2017,YearlyPAR0m,35.16128921508789
-22.074380508266216,74.58695024938628,-110.34211730957031,2006,YearlyPAR0m,32.33013153076172
-22.074380508266216,74.58695024938628,-110.34211730957031,2017,YearlyPAR0m,35.22075653076172
-22.07111094913872,74.58695024938628,-125.75908660888672,2006,YearlyPAR0m,32.33578872680664
-22.07111094913872,74.58695024938628,-125.75908660888672,2017,YearlyPAR0m,35.16891098022461
-22.074380508266216,74.58605024452034,-101.66525268554688,2006,YearlyPAR0m,32.33616638183594
-22.074380508266216,74.58605024452034,-101.66525268554688,2017,YearlyPAR0m,35.23989486694336
-22.07111094913872,74.58605024452034,-126.16069793701172,2006,YearlyPAR0m,32.34516906738281
-22.07111094913872,74.58605024452034,-126.16069793701172,2017,YearlyPAR0m,35.17653274536133
-22.074380508266216,74.5851502396544,-90.54576110839844,2006,YearlyPAR0m,32.34219741821289
-22.074380508266216,74.5851502396544,-90.54576110839844,2017,YearlyPAR0m,35.25902557373047
-22.07111094913872,74.5851502396544,-120.27616119384766,2006,YearlyPAR0m,32.354549407958984
-22.07111094913872,74.5851502396544,-120.27616119384766,2017,YearlyPAR0m,35.18415451049805
-22.07765006739371,74.58425023478847,-56.844688415527344,2006,YearlyPAR0m,32.33252716064453
-22.07765006739371,74.58425023478847,-56.844688415527344,2017,YearlyPAR0m,35.36454772949219
-22.074380508266216,74.58425023478847,-83.74121856689453,2006,YearlyPAR0m,32.34823226928711
-22.074380508266216,74.58425023478847,-83.74121856689453,2017,YearlyPAR0m,35.27816390991211
-22.07111094913872,74.58425023478847,-110.25827026367188,2006,YearlyPAR0m,32.36393356323242
-22.07111094913872,74.58425023478847,-110.25827026367188,2017,YearlyPAR0m,35.191776275634766
-22.07765006739371,74.58335022992253,-39.55000686645508,2006,YearlyPAR0m,32.33521270751953
-22.07765006739371,74.58335022992253,-39.55000686645508,2017,YearlyPAR0m,35.39519500732422
-22.074380508266216,74.58335022992253,-66.38265228271484,2006,YearlyPAR0m,32.35426330566406
-22.074380508266216,74.58335022992253,-66.38265228271484,2017,YearlyPAR0m,35.29729461669922
-22.07111094913872,74.58335022992253,-95.702117919921875,2006,YearlyPAR0m,32.373313903808594
-22.07111094913872,74.58335022992253,-95.702117919921875,2017,YearlyPAR0m,35.199398040771484
-22.07765006739371,74.58245022505659,-12.959251403808594,2006,YearlyPAR0m,32.337894439697266
